#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.694	36.2	GCA_000222385.1	-	-	-	AFNC01	2408	-	-	2011/07/18	2011/08/05	Scaffolds or contigs	1001genomes	-
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	98.0662	36	GCA_000222345.1	-	-	-	AFNB01	1740	-	-	2011/07/18	2011/08/05	Scaffolds or contigs	1001genomes	-
Glycine max	3847	PRJNA19861	19861	Plants	Land Plants	973.779	35.0277	GCA_000004515.2	20	2	-	ACUP01	1147	10337	11663	2005/12/18	2009/04/15	Chromosomes	US DOE Joint Genome Institute (JGI-PGF)	-
Glycine max	3847	PRJNA175477	175477	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Glycine max	3847	PRJNA176442	176442	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Illinois at Urbana-Champaign	-
Glycine max	3847	PRJNA177972	177972	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	HHMI-The Salk Institute for Biological Studies	-
Medicago truncatula	3880	PRJNA10791	10791	Plants	Land Plants	314.478	35.9393	GCA_000219495.1	8	1	-	Unplaced	421	45000	46092	2001/08/31	2011/03/24	Chromosomes	Medicago truncatula Consortium	-
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	781.509	34.8102	GCA_000188115.1	12	-	-	AEKE02	3224	-	-	2011/02/08	2011/02/08	Chromosomes	Solanaceae Genomics Project	-
Solanum lycopersicum	4081	PRJNA41343	41343	Plants	Land Plants	540.589	34.5	GCA_000181095.1	-	-	-	BABP01	-	-	-	2009/11/06	2009/11/06	Scaffolds or contigs	Kazusa DNA Research Institute	-
Solanum lycopersicum	4081	PRJDA59759	59759	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Kazusa DNA Research Institute	-
Solanum lycopersicum	4081	PRJNA66163	66163	Plants	Land Plants	781.509	34.9309	GCA_000188115.1	12	1	-	AEKE02	3224	27398	26281	2006/02/24	2007/06/26	Chromosomes	NCBI	-
Solanum lycopersicum	4081	PRJNA67471	67471	Plants	Land Plants	0.575198	43.5	GCA_000325825.1	-	-	-	AFYB01	195	-	-	2012/02/24	2012/02/24	Scaffolds or contigs	Mitochondrial Genome	-
Solanum lycopersicum	4081	PRJNA195383	195383	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Cornell University	-
Hordeum vulgare	4513	PRJNA30763	30763	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	International Barley Genome Sequencing Consortium (IBSC)	-
Hordeum vulgare subsp. vulgare	112509	PRJDA62403	62403	Plants	Land Plants	28.016	44.7	GCA_000227425.1	-	-	-	BACC01	-	-	-	2011/06/22	2011/06/22	Scaffolds or contigs	Institute of Plant Science and Resources, Okayama University	-
Hordeum vulgare subsp. vulgare	112509	PRJEB86	179052	Plants	Land Plants	1868.64	44.3	GCA_000326085.1	-	-	-	CAJW01	-	-	-	2012/10/29	2013/01/29	Scaffolds or contigs	IPK-Gatersleben	-
Hordeum vulgare subsp. vulgare	112509	PRJEB88	179053	Plants	Land Plants	1779.49	44.8	GCA_000326125.1	-	-	-	CAJX01	-	-	-	2012/10/29	2013/01/29	Scaffolds or contigs	IPK-Gatersleben	-
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	382.778	43.7135	GCA_000005425.2	12	2	1	-	15	30534	28555	1989/11/23	2008/12/08	Chromosomes	National Institute of Agrobiological Sciences, Japan	-
Oryza sativa Indica Group	39946	PRJNA361	361	Plants	Land Plants	426.337	43.3343	GCA_000004655.2	12	-	-	AAAA02	10627	39285	37358	2002/04/04	2008/12/17	Chromosomes	Beijing Institute of Genomics, Chinese Academy of Sciences	-
Oryza sativa Japonica Group	39947	PRJNA13139	13139	Plants	Land Plants	391.148	43.512	GCA_000149285.1	12	-	-	AACV01	7777	37032	35394	2004/10/21	2009/02/05	Chromosomes	Beijing Genomics Institute	-
Oryza sativa Japonica Group	39947	PRJDA37703	37703	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NIAS	-
Oryza sativa Japonica Group	39947	PRJDA39809	39809	Plants	Land Plants	382.151	43.0935	GCA_000164945.1	12	-	-	BABO01	12	-	-	2010/04/01	2010/04/01	Chromosomes	QTL Genomics Research Center, National Institute of Agrobiological Sciences	-
Oryza sativa Japonica Group	39947	PRJDA56069	56069	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Tokyo University of Agriculture	-
Oryza sativa Japonica Group	39947	PRJDA67163	67163	Plants	Land Plants	382.627	43.2869	GCA_000321445.1	12	-	-	BACJ01	12	-	-	2011/12/27	2011/12/27	Chromosomes	Iwate Biotechnology Research Center	-
Oryza sativa	4530	PRJNA126357	126357	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Jiming Jiang, UW-Madison	-
Oryza sativa Japonica Group	39947	PRJNA167925	167925	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of California, Riverside	-
Oryza sativa	4530	PRJNA174121	174121	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Shanghai Jiao Tong University	-
Oryza sativa	4530	PRJNA187141	187141	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	National Institute of Plant Genome Research	-
Oryza sativa	4530	PRJNA196473	196473	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	NENU	-
Oryza sativa	4530	PRJNA201442	201442	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Weedy Rice Consortium	-
Oryza sativa	4530	PRJNA205324	205324	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	CGIAR - A global Agricultural Research Partnership	-
Oryza sativa Indica Group	39946	PRJNA208775	208775	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Oryza sativa Indica Group	39946	PRJNA208877	208877	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Oryza sativa Indica Group	39946	PRJNA211839	211839	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Triticum aestivum	4565	PRJEA41525	41525	Plants	Land Plants	1.26608	44.8	GCA_000210335.1	1	-	-	-	1	45	21	2010/07/15	2010/08/03	Chromosomes	International Wheat Genome Sequencing Consortium	-
Triticum aestivum	4565	PRJNA61773	61773	Plants	Land Plants	159.087	43.6	GCA_000188135.1	-	-	-	AEOM01	-	-	-	2011/02/04	2011/02/04	Scaffolds or contigs	International Wheat Genome Sequencing Consortium	-
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	3800.33	47.7	GCA_000334095.1	-	-	-	CALP01	-	-	-	2012/12/23	2012/12/23	Scaffolds or contigs	MIPS/HMGU	-
Triticum urartu	4572	PRJNA182347	182347	Plants	Land Plants	3747.05	45.6	GCA_000347455.1	-	-	-	AOTI01	499221	10401	7824	2013/03/01	2013/11/01	Scaffolds or contigs	BGI	SAMN00217315
Triticum aestivum	4565	PRJEB217	171500	Plants	Land Plants	437.106	48.2	GCA_000334135.1	-	-	-	CALO01	-	-	-	2013/01/09	2013/01/09	Scaffolds or contigs	MIPS/HMGU	-
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	2066.91	46.8304	GCA_000005005.5	10	-	-	Unplaced	521	38999	62681	2010/01/29	2013/10/24	Chromosomes	maizesequence	-
Zea mays	4577	PRJNA43759	43759	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Beijing Genomics Institute at Shenzhen	-
Zea mays	4577	PRJNA51041	51041	Plants	Land Plants	177.051	45.9	GCA_000223545.1	-	-	-	AECO01	-	-	-	2011/08/16	2011/08/16	Scaffolds or contigs	Laboratorio Nacional de Genómica para la Biodiversidad (LANGEBIO) CINVESTAV Irapuato	-
Zea mays subsp. mays	381124	PRJNA202919	202919	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Minnesota	-
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	1.33507	45.4	GCA_000275765.1	-	-	-	AHID01	1844	-	-	2012/07/03	2012/07/03	Chromosomes	maizesequence	-
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Pneumocystis carinii B70	1408659	PRJNA223512	223512	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Pneumocystis carinii B50	1408660	PRJNA223513	223513	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Schizosaccharomyces pombe	284812	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	3	1	-	-	4	6991	5133	1990/11/28	2011/12/21	Chromosomes	S. pombe European Sequencing Consortium (EUPOM)	-
Schizosaccharomyces pombe 972h-	284812	PRJNA40079	40079	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Schizosaccharomyces pombe NCYC132	941278	PRJNA61439	61439	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Schizosaccharomyces pombe SPK1820	941279	PRJNA61441	61441	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Schizosaccharomyces pombe	4896	PRJNA174059	174059	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	The Wistar Institute	-
Schizosaccharomyces pombe 927	1264690	PRJNA182498	182498	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	univ. of Edinburgh	-
Saccharomyces cerevisiae S288c	559292	PRJNA13838	13838	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	16	1	-	-	17	6349	5906	1999/01/15	2013/09/06	Chromosomes	Sanger Institute	-
Saccharomyces cerevisiae YJM789	307796	PRJNA13304	13304	Fungi	Ascomycetes	11.991	38.1401	GCA_000181435.1	-	1	-	AAFW02	258	5912	5912	2005/01/06	2007/08/03	Scaffolds or contigs	Stanford University	-
Saccharomyces cerevisiae RM11-1a	285006	PRJNA13674	13674	Fungi	Ascomycetes	11.737	38.3	GCA_000149365.1	-	-	-	AAEG01	17	289	261	2005/03/16	2008/06/16	Scaffolds or contigs	Broad Institute	-
Saccharomyces cerevisiae YPS163	538976	PRJNA28813	28813	Fungi	Ascomycetes	10.7188	38.5	GCA_000182095.1	-	-	-	ABPD01	4725	-	-	2008/06/16	2008/09/26	Scaffolds or contigs	Washington University School of Medicine (WashU)	-
Saccharomyces cerevisiae M22	538975	PRJNA28815	28815	Fungi	Ascomycetes	10.7768	38.8	GCA_000182075.1	-	-	-	ABPC01	6145	-	-	2008/06/16	2008/09/26	Scaffolds or contigs	Washington University School of Medicine (WashU)	-
Saccharomyces cerevisiae AWRI1631	545124	PRJNA30553	30553	Fungi	Ascomycetes	11.1769	38.2	GCA_000182175.1	-	-	-	ABSV01	2484	5590	5451	2008/09/30	2008/09/30	Scaffolds or contigs	The Australian Wine Research Institute (AWRI), Australia	-
Saccharomyces cerevisiae S288c	559292	PRJNA30565	30565	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Stowers Institute For Medical Research	-
Saccharomyces cerevisiae JAY291	574961	PRJNA32809	32809	Fungi	Ascomycetes	11.5381	38.1	GCA_000182315.2	-	-	-	ACFL01	453	5665	5197	2009/08/20	2012/05/25	Scaffolds or contigs	Duke University Medical Center	-
Saccharomyces cerevisiae EC1118	643680	PRJEA37863	37863	Fungi	Ascomycetes	11.6595	38.3	GCA_000218975.1	-	-	-	Unplaced	31	7248	6017	-	-	Scaffolds or contigs	Genoscope	-
Saccharomyces cerevisiae Sigma1278b	658763	PRJNA39317	39317	Fungi	Ascomycetes	11.9459	38.3024	GCA_000151485.1	16	-	-	ACVY01	16	-	-	2010/04/29	2010/05/14	Chromosomes	Broad Institute	-
Saccharomyces cerevisiae Kyokai no. 7	721032	PRJNA45827	45827	Fungi	Ascomycetes	12.3892	38.3445	GCA_000260735.1	-	1	-	BABQ01	522	6640	5816	2011/09/10	2013/07/20	Scaffolds or contigs	National Research Institute of Brewing	-
Saccharomyces cerevisiae CAT-1	717647	PRJNA45859	45859	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Stanford Genome Technology Center	-
Saccharomyces cerevisiae AWRI796	764097	PRJNA48559	48559	Fungi	Ascomycetes	11.7417	38.2	GCA_000190195.1	16	-	-	ADVS01	89	-	3786	2011/02/11	2011/02/23	Chromosomes	The Australian Wine Research Institute	-
Saccharomyces cerevisiae Lalvin QA23	764098	PRJNA48561	48561	Fungi	Ascomycetes	11.8041	38.3	GCA_000325965.1	-	-	-	ADVV01	185	5339	4022	2011/02/11	2011/02/17	Scaffolds or contigs	The Australian Wine Research Institute	-
Saccharomyces cerevisiae Vin13	764099	PRJNA48563	48563	Fungi	Ascomycetes	11.6675	38.2	GCA_000190215.1	16	-	-	ADXC01	107	-	3930	2011/02/11	2011/02/25	Chromosomes	The Australian Wine Research Institute	-
Saccharomyces cerevisiae VL3	764100	PRJNA48565	48565	Fungi	Ascomycetes	11.6622	38.2	GCA_000190235.1	16	-	-	AEJS01	84	-	4025	2011/02/11	2011/02/25	Chromosomes	The Australian Wine Research Institute	-
Saccharomyces cerevisiae FostersO	764101	PRJNA48567	48567	Fungi	Ascomycetes	11.6849	38.2	GCA_000326005.1	-	-	-	AEEZ01	222	5215	3575	2011/02/11	2011/02/17	Scaffolds or contigs	The Australian Wine Research Institute	-
Saccharomyces cerevisiae FostersB	764102	PRJNA48569	48569	Fungi	Ascomycetes	11.5146	38.2	GCA_000190255.1	16	-	-	AEHH01	90	-	3689	2011/02/11	2011/02/25	Chromosomes	The Australian Wine Research Institute	-
Saccharomyces cerevisiae CEN.PK113-7D	889517	PRJNA52955	52955	Fungi	Ascomycetes	11.9991	38.3	GCA_000269885.1	16	-	-	AEHG01	70	7	7	2012/06/18	2012/06/19	Chromosomes	Chalmers University of Technology	-
Saccharomyces cerevisiae CLIB215	464025	PRJNA60143	60143	Fungi	Ascomycetes	12.4385	38.2	GCA_000192555.1	-	-	-	AEWP01	583	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae CLIB382	947035	PRJNA60145	60145	Fungi	Ascomycetes	10.2559	38.4	GCA_000209345.1	-	-	-	AFDG01	10262	-	-	2011/04/25	2011/04/26	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae FL100	947036	PRJNA60147	60147	Fungi	Ascomycetes	12.4154	38.2	GCA_000192535.1	-	-	-	AEWO01	926	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae I14	947037	PRJNA60149	60149	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae IL-01	471510	PRJNA60151	60151	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae NC-02	947038	PRJNA60169	60169	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae PW5	947039	PRJNA60181	60181	Fungi	Ascomycetes	11.8024	38.2	GCA_000209265.1	-	-	-	AFDC01	461	-	-	2011/04/25	2011/04/26	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae T73	471859	PRJNA60195	60195	Fungi	Ascomycetes	12.4352	38.3	GCA_000209305.1	-	-	-	AFDF01	2689	-	-	2011/04/25	2011/04/26	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae UC5	947040	PRJNA60197	60197	Fungi	Ascomycetes	11.7165	38.2	GCA_000209285.1	-	-	-	AFDD01	506	-	-	2011/04/25	2011/04/26	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae WE372	466209	PRJNA60199	60199	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae Y10	462210	PRJNA60201	60201	Fungi	Ascomycetes	14.2673	38.2	GCA_000192375.1	-	-	-	AEWK01	1157	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae Y12	471861	PRJNA60203	60203	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM280	947041	PRJNA60207	60207	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM320	947042	PRJNA60209	60209	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM326	468558	PRJNA60211	60211	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM421	947043	PRJNA60213	60213	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM428	947044	PRJNA60215	60215	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM451	502869	PRJNA60217	60217	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM653	947045	PRJNA60221	60221	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YPS1009	947046	PRJNA60223	60223	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae T7	929585	PRJNA60387	60387	Fungi	Ascomycetes	11.7814	38.2	GCA_000209365.1	-	-	-	AFDE01	212	-	-	2011/04/25	2011/04/26	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJM269	929586	PRJNA60389	60389	Fungi	Ascomycetes	12.4093	38.2	GCA_000192515.1	-	-	-	AEWN01	451	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae CBS 7960	929587	PRJNA60391	60391	Fungi	Ascomycetes	12.9079	39.3	GCA_000192455.1	-	-	-	AEWL01	1402	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae CLIB324	929629	PRJNA60415	60415	Fungi	Ascomycetes	13.4362	38.2	GCA_000192495.1	-	-	-	AEWM01	998	-	-	2011/03/11	2011/03/18	Scaffolds or contigs	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	-
Saccharomyces cerevisiae YJSH1	1087981	PRJNA72403	72403	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Zhejiang University	-
Saccharomyces cerevisiae EC9-8	1095001	PRJNA73985	73985	Fungi	Ascomycetes	12.2998	38.2	GCA_000234495.1	-	-	-	AGSJ01	96	-	-	2011/11/04	2011/11/07	Scaffolds or contigs	Academia Sinica 	-
Saccharomyces cerevisiae YJM451	502869	PRJNA74617	74617	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Washington University Genome Sequencing Center	-
Saccharomyces cerevisiae VR1	1138861	PRJNA82279	82279	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	VIB - KULeuven	-
Saccharomyces cerevisiae W303	580240	PRJNA83445	83445	Fungi	Ascomycetes	12.1532	38.3352	GCA_000292815.1	16	1	1	ALAV01	18	-	-	2012/08/24	2013/02/28	Chromosomes	Max Planck Institute Molecular Genetics	-
Saccharomyces cerevisiae P283	1177187	PRJNA161093	161093	Fungi	Ascomycetes	11.4081	38.3	GCA_000568295.1	16	-	-	AOJC01	34	5268	8800	2013/12/31	2014/02/18	Chromosomes	University of Padova	-
Saccharomyces cerevisiae R008	1182966	PRJNA162713	162713	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Padova	-
Saccharomyces cerevisiae R103	1182967	PRJNA162715	162715	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Padova	-
Saccharomyces cerevisiae P301	1182968	PRJNA162717	162717	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Padova	-
Saccharomyces cerevisiae BY2961	1290389	PRJDB43	167221	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Tokyo University of Agriculture	-
Saccharomyces cerevisiae W303	580240	PRJNA167645	167645	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute	-
Saccharomyces cerevisiae S228	1196866	PRJNA167999	167999	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Cold Spring Harbor Laboratory	-
Saccharomyces cerevisiae	4932	PRJNA168993	168993	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	VIB - KULeuven	-
Saccharomyces cerevisiae LAN211	1216859	PRJNA171604	171604	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Nebraska Medical Center	-
Saccharomyces cerevisiae CBS 1585	1218710	PRJNA171999	171999	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	VIB - KULeuven	-
Saccharomyces cerevisiae ZTW1	1227742	PRJNA174065	174065	Fungi	Ascomycetes	11.4148	38.3	GCA_000308935.1	-	-	-	AMDD01	33	-	-	2012/10/31	2012/10/31	Scaffolds or contigs	College of life science	-
Saccharomyces cerevisiae M3707	1149757	PRJNA174688	174688	Fungi	Ascomycetes	11.5097	38.2	GCA_000365045.1	-	-	-	AMQB01	42	-	-	2013/04/15	2013/06/18	Scaffolds or contigs	DOE Joint Genome Institute	-
Saccharomyces cerevisiae M3836	1162671	PRJNA174689	174689	Fungi	Ascomycetes	11.5327	38.3	GCA_000365065.1	-	-	-	AMQC01	52	-	-	2013/04/15	2013/06/18	Scaffolds or contigs	DOE Joint Genome Institute	-
Saccharomyces cerevisiae M3837	1162672	PRJNA174690	174690	Fungi	Ascomycetes	11.5303	38.2	GCA_000365085.1	-	-	-	AMQD01	45	-	-	2013/04/15	2013/06/18	Scaffolds or contigs	DOE Joint Genome Institute	-
Saccharomyces cerevisiae M3838	1162673	PRJNA174691	174691	Fungi	Ascomycetes	11.5716	38.2	GCA_000365105.1	-	-	-	AMQE01	34	-	-	2013/04/15	2013/06/18	Scaffolds or contigs	DOE Joint Genome Institute	-
Saccharomyces cerevisiae M3839	1162674	PRJNA174692	174692	Fungi	Ascomycetes	11.5502	38.2	GCA_000365125.1	-	-	-	AMQF01	44	-	-	2013/04/15	2013/06/18	Scaffolds or contigs	DOE Joint Genome Institute	-
Saccharomyces cerevisiae MUCL 28177	1234807	PRJNA175766	175766	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	VIB - KULeuven	-
Saccharomyces cerevisiae YJM1078	1296266	PRJNA183131	183131	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1083	1292971	PRJNA188959	188959	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
Saccharomyces cerevisiae YJM1129	1293430	PRJNA189300	189300	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Duke University	-
